# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.40000000000000002 0 8.3945305839701714 6.4563314640125533 3.7855945513971885 3.785594551396934 0 16.79270825202773 nan nan nan nan nan nan nan nan nan nan 116.47639817873655 78.635092551461355 78.635092551461355 0 314.45938375418052 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
100 0.01846469640527322 0.00018464696405273216 0.40000000000000002 56.697214000000002 6.9712198221035946 5.6473719213093752 2.9979626828731365 2.9979626828729109 0 13.896803910506128 nan nan nan nan nan nan nan nan nan nan 114.63396295766236 43.628708183618912 43.628708183618926 0 312.40351751972639 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
200 0.036929392810546476 0.00018464696405273216 0.40000000000000002 113.530878 7.4152772861563152 5.8832627176501777 3.0524237131322951 3.0524237131321641 0 14.889067294463155 nan nan nan nan nan nan nan nan nan nan 109.7841844389602 112.20037938143275 112.20037938143238 0 343.11656540666792 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
300 0.055394089215819488 0.00018464696405273216 0.40000000000000002 169.49162200000001 7.5820384549448852 5.8606599809572035 3.2878759742712291 3.2878759742708614 0 15.21410343742096 nan nan nan nan nan nan nan nan nan nan 121.16415027241317 106.3230277274952 106.32302772749486 0 376.28190046794049 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
400 0.073858785621092923 0.00018464696405273216 0.40000000000000002 225.688998 6.8855199851183109 5.3163143283770111 3.4762767747562222 3.4762767747554508 0 13.587484272660554 nan nan nan nan nan nan nan nan nan nan 115.9624115372639 124.7949843766375 124.79498437663766 0 392.27286902924175 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
500 0.092323482026366629 0.00018464696405273216 0.40000000000000002 282.23138799999998 7.7722742944877021 6.1023051167864271 3.3027193769474459 3.3027193769491991 0 15.588046710209522 nan nan nan nan nan nan nan nan nan nan 133.01215031320567 127.20658315677926 127.20658315678023 0 409.4320183806733 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
600 0.11078817843164034 0.00018464696405273226 0.40000000000000002 338.34568200000001 7.5580892665768022 5.8603612807280649 3.6495315909752399 3.6495315909585044 0 14.988047598007229 nan nan nan nan nan nan nan nan nan nan 136.81910267632543 133.17532170207011 133.17532170206951 0 409.91808252212161 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
700 0.12925287483691403 0.00018464696405273216 0.40000000000000002 393.97434600000003 8.2901641931898329 6.3063281750658575 3.6735713017089782 3.6735713017844045 0 16.639533781947467 nan nan nan nan nan nan nan nan nan nan 157.46581348252153 153.1360061683537 153.1360061683508 0 494.59077533303383 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
800 0.14771757124218773 0.00018464696405273226 0.40000000000000002 449.74292100000002 9.0465175104471669 7.0041747276937443 3.9350235724516942 3.9350235712849253 0 18.143045794346488 nan nan nan nan nan nan nan nan nan nan 164.78463710020807 146.76779502564116 146.76779502563912 0 522.09339601996112 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
900 0.16618226764746144 0.00018464696405273194 0.40000000000000002 505.430792 9.2090288644529057 7.0922936484918431 4.0130249032020062 4.0130249373816334 0 18.480305622836163 nan nan nan nan nan nan nan nan nan nan 178.04503651502026 158.96567020878578 158.96567020878533 0 566.66159990462734 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
1000 0.18464696405273515 0.00018464696405273205 0.40000000000000002 561.94489499999997 9.2579213436208683 7.0623108716483065 3.8630569209886327 3.8628400596438399 0 18.676845586831973 nan nan nan nan nan nan nan nan nan nan 193.34370456936523 155.05557620380165 155.0555715063866 0 612.26478026578775 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
1100 0.20311166045800885 0.00018464696405273213 0.40000000000000002 617.85539300000005 9.6521029403997378 7.323159699256677 4.3264270392137805 4.3264490981731463 0 19.358477604264902 nan nan nan nan nan nan nan nan nan nan 202.02592063497784 156.80933798250669 156.81836919330613 0 661.23506109300934 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
1200 0.22157635686328256 0.00018464696405273205 0.40000000000000002 674.07490199999995 10.148425965712367 7.6172637301162265 4.7088383149776218 4.7085208479607461 0 20.312230658430856 nan nan nan nan nan nan nan nan nan nan 179.5767522533277 200.43514937687485 200.42794494982701 0 634.52624322716065 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
1300 0.24004105326855626 0.00018464696405273205 0.40000000000000002 729.92449299999998 10.278183277180883 7.6864610513597293 4.7599659331842501 4.7627118131960877 0 20.585987331238243 nan nan nan nan nan nan nan nan nan nan 240.01927050274452 235.8277127833021 235.82634716088663 0 823.78267267825072 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
1400 0.25850574967382994 0.00018464696405273186 0.40000000000000002 785.82455700000003 11.105038546596807 8.2052540133262344 5.0188016393605714 5.0154878103849203 0 22.33695870776571 nan nan nan nan nan nan nan nan nan nan 275.17995331850977 241.99885998512431 241.98588873288142 0 877.246462313096 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
1500 0.27697044607910365 0.00018464696405273194 0.40000000000000002 841.53553299999999 11.483183814407655 8.4586329671831724 5.308834512427409 5.3092242044709108 0 23.052060544996223 nan nan nan nan nan nan nan nan nan nan 309.58342884195332 268.69860537575448 268.69752228542956 0 932.8504128272757 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
1600 0.29543514248437736 0.00018464696405273194 0.40000000000000002 897.16742999999997 12.121074084227919 8.8839969280247022 5.5692240043314492 5.5688963456843608 0 24.364891151822487 nan nan nan nan nan nan nan nan nan nan 331.58659954475763 275.1305726103522 275.12643992440832 0 1017.7164147161627 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
