# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.40000000000000002 0 10.308640988596455 7.9300165399351377 4.6662398422903433 4.6662398422899756 0 20.613288051731523 nan nan nan nan nan nan nan nan nan nan 178.03057630484983 120.23119040329981 120.23119040329981 0 480.64145345837778 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
100 0.042957262745772093 0.00040284212005806385 0.40000000000000002 53.232013000000002 8.9447656590861726 7.0569878134589858 3.9090255124743258 3.9090246675027669 0 17.879656936647514 nan nan nan nan nan nan nan nan nan nan 156.72974049910471 201.63349526646729 201.63349526646741 0 522.20807439245743 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
200 0.080218450225506999 0.00035883563992555959 0.40000000000000002 109.273051 8.5893752554216558 6.4531159643678428 4.0592037482243386 4.0260293704020649 0 17.162694519851232 nan nan nan nan nan nan nan nan nan nan 169.11094319978389 176.75850370560823 176.75850370560767 0 535.24600713402458 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
300 0.11602315495229426 0.00035783510927223176 0.40000000000000002 165.08746400000001 8.671069972736424 6.5751009580885365 4.2263718782592372 4.2568693737632692 0 17.225625202957811 nan nan nan nan nan nan nan nan nan nan 184.02791246019871 152.26078529594599 152.26078529594471 0 609.66519870907882 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
400 0.15124034628196209 0.00034849920815379823 0.40000000000000002 220.41747000000001 9.0374635061019628 6.7993406106872563 4.3459639283854177 4.3460112276868319 0 18.010343814665941 nan nan nan nan nan nan nan nan nan nan 176.50053928908844 167.21109956154694 167.21109956154788 0 548.05834946331538 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
500 0.18575190436617378 0.00034179596199269881 0.40000000000000002 276.12905499999999 9.4057869545200532 7.1875352876234446 4.1886409342308202 4.1886547512119225 0 18.857198523574535 nan nan nan nan nan nan nan nan nan nan 180.00426115673997 158.44470218377958 158.44470218378214 0 559.30521266426524 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
600 0.21974722894751486 0.0003381664004107918 0.40000000000000002 331.41184500000003 9.3494412063576728 7.0422281124245814 4.0712182424393468 4.0713590246009632 0 18.823296610410736 nan nan nan nan nan nan nan nan nan nan 192.88964815740869 155.45507160714067 155.45507160713672 0 622.3739246013979 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
700 0.25339675180295507 0.00033543066147040927 0.40000000000000002 387.22190399999999 9.6945354344242531 7.2801064470810566 4.5120551573921164 4.5119886770301365 0 19.395964863875918 nan nan nan nan nan nan nan nan nan nan 183.71632607423436 163.87768355366512 163.87768355366512 0 607.11139854427211 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
800 0.28672135132482379 0.00033241554312125215 0.40000000000000002 442.68406599999997 9.9841993483772402 7.4966511303951879 4.448935282303105 4.4488468756378632 0 20.065795306960371 nan nan nan nan nan nan nan nan nan nan 182.32142718788066 163.26439933960515 163.26439933960145 0 594.2880818017594 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
841 0.29999999999999999 1.5955001731515761e-05 0.40000000000000002 465.331997 10.219989422258063 7.6590022692355406 4.6404561690344863 4.6404763786266665 0 20.506407503945102 nan nan nan nan nan nan nan nan nan nan 191.83819959278927 167.33470198819606 167.3347019881956 0 619.17018622736748 nan nan nan nan nan nan nan nan nan nan 0 0 0 1 physical_time_reached
