# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.5 0 0.003097864819620147 2.118426599467327e-14 0.0029175137028102415 4.157424632341092e-14 1.1858734822173885e-14 0.006282670291931235 nan nan nan nan nan nan nan nan nan nan 5.9401827130355425e-14 0.01037462022592317 9.8200818787403827e-14 2.2886846485608385e-14 0.022110989612815796 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
20 0.0058522297835267639 0.00029261148917628956 0.5 69.765351999999993 0.00051861571646619729 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 1 1 1 1 1 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 1 1 1 1 1 0 0 0 1 running
40 0.011704459567008458 0.00029261148916833455 0.5 139.24071499999999 0.00033484696130150045 1.5335069058744097e-05 0.00049298363707914422 2.9281797532947767e-05 5.2280796445061799e-14 0.00056257175811327777 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.87625181624118043 0.63781393014508292 0.79559729971950177 1.0420379259356085 0.65145720323734391 5.2851437809736807e-05 0.0015033330421595492 6.8912585951685346e-05 2.8151519572144893e-13 0.0012735515102673123 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.75008097724387157 0.49102073365411458 0.71428391609398556 1.0189709010270052 0.4507791517085375 0 0 0 1 running
60 0.017556689349724978 0.00029261148908391851 0.5 207.74506500000001 0.00022776151076914263 1.1651174887577485e-05 0.00037010617534419547 2.3263804329408918e-05 5.4227538779586414e-14 0.00034888535859672453 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.66575266909293751 0.4788371388264745 0.63208619227882989 1.0808395411086054 0.4040086916629661 3.169551704416909e-05 0.0010759884823215993 6.0555807046030433e-05 2.6698312541923807e-13 0.0007615403473424931 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.44983079711712637 0.35144085786471851 0.62766530092769723 0.96637069686508348 0.26955055135133077 0 0 0 1 running
80 0.023408919128772472 0.00029261148879300929 0.5 276.56454600000001 0.00016892606904374407 9.3993185881317662e-06 0.00029979742518690004 1.8299756442130538e-05 5.6843725356259839e-14 0.00022886318967540745 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.53708072345351854 0.38787286153908451 0.49721116999397375 1.1329842255738103 0.26502321049663757 2.5082977118572392e-05 0.00077183030881278203 3.6377908819435141e-05 2.9804444943372692e-13 0.00052251271416181577 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.3559839574661165 0.25209629128175065 0.37705964465001468 1.0788000996084182 0.184945670550342 0 0 0 1 running
100 0.029261148899381119 0.000292611488259042 0.5 342.357057 0.00013574613888428158 7.9909704949895252e-06 0.00025377647277373449 1.4645194997390232e-05 6.1513517281672037e-14 0.00016569319729702826 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.45660716511554533 0.32833172808164962 0.39791538004723925 1.2260604719852595 0.19187245955713364 1.852704827988247e-05 0.00061009539948519986 2.7842907564287108e-05 3.184965851187361e-13 0.00038435340562148479 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.26294055668355781 0.19927020976262794 0.2885937419966384 1.1528285408564034 0.13604357636541473 0 0 0 1 running
120 0.035113378657310103 0.00029261148754075952 0.5 407.44134300000002 0.00011648913394183354 7.0308095122843027e-06 0.00022107441815007021 1.1658225923266756e-05 6.2219569962979213e-14 0.00013707423812709708 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.4017431927554318 0.28602236035715872 0.31675832242315205 1.2401332046454003 0.158731750249339 1.5819551238392066e-05 0.00051298694645263154 2.2487874747294168e-05 2.7867556733894498e-13 0.00029779214069125537 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.22451507365172493 0.16755251147830641 0.23308844120854663 1.0086925972782976 0.10540483638396184 0 0 0 1 running
140 0.040965608398548362 0.00029261148657089839 0.5 472.88478700000002 0.00010414685116539794 6.2959179349547656e-06 0.00019647997810081004 9.5587503748720802e-06 6.3637194817479474e-14 0.0001244887262063122 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.35975120192000937 0.25420248787522903 0.25971479306842349 1.2683886820593784 0.14415774741506615 1.309227327967379e-05 0.00043195945889451526 1.8870650856703084e-05 2.9634328326653537e-13 0.00025017150954620426 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.18580885483785947 0.14108720055173835 0.19559565509003449 1.0726425676224893 0.088549304795070227 0 0 0 1 running
160 0.046817838115227411 0.00029261148504765343 0.5 538.12795600000004 9.5680489071262091e-05 5.6779644114752146e-06 0.00017716948132725946 8.1844777191342381e-06 6.175555425356534e-14 0.00011952208948732617 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.32444109700771107 0.22921889224685138 0.2223752952881686 1.2308846468513877 0.1384063899752655 1.1245717763232086e-05 0.00036574351281659645 1.6955785331868441e-05 2.9288450964404033e-13 0.00022101923054673733 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.15960207175479857 0.11945965594853104 0.17574793602705824 1.0601232090652002 0.078230727578674775 0 0 0 1 running
180 0.052670067792135157 0.00029261148258256903 0.5 603.38709600000004 9.027396230906141e-05 5.1528444167560737e-06 0.00016146125653683166 6.915508346355712e-06 6.2086833171058327e-14 0.00012084216123176885 1.750075580388099e-05 0.00077292704624216295 3.6804797531705358e-05 5.0171682953017996e-14 0.00086355904166480959 0.29443553607058343 0.20889585546505099 0.18789692676337569 1.2374875530724767 0.13993503096071308 9.9585940665363033e-06 0.00032530303198152755 1.5204347394792419e-05 3.1546315075184952e-13 0.00021262430514445985 7.0460976098789103e-05 0.0030616488044648005 9.6477863212333364e-05 2.7627402847099368e-13 0.0028252227403159913 0.14133488659841947 0.10625092973013049 0.15759415568035459 1.1418487380002509 0.075259306854042446 0 0 0 1 running
