# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.5 0 0.021676792091811822 2.3444584016914803e-14 0.038410662932398032 6.1578838496067489e-14 1.0343333847137985e-14 0.02956412606609371 nan nan nan nan nan nan nan nan nan nan 7.4846253205702528e-14 0.21331655040380793 3.4427334466129491e-13 2.4190089500028126e-14 0.16787851251210056 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
20 0.0021974033827714787 0.00010987016828576148 0.5 75.564136000000005 0.0044104578426528828 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 1 1 1 1 1 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 1 1 1 1 1 0 0 0 1 running
40 0.0043948067395711294 0.00010987016724360627 0.5 138.249574 0.0030285457014714821 2.9603074408034799e-05 0.0060972903621216859 8.1034629971064691e-05 4.5931246689945241e-14 0.002945513981670431 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 1.1760812724993839 0.68361129692585643 0.85925696431711951 1.2111803739028979 0.70015488583769936 0.0001310524205670815 0.026561959712331329 0.00020459843679641231 2.6620911318111005e-13 0.008537519205078975 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 1.120314654286739 0.61397302213102301 0.69371825379883423 1.023812215041245 0.61333963189308105 0 0 0 1 running
60 0.0065922100709109284 0.00010987016608187968 0.5 200.199679 0.0024034979159307055 2.9312591432846023e-05 0.0048202752693859959 7.3745552138010327e-05 4.9361392570269416e-14 0.0023754283513264178 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 1.1645408634732626 0.54043590394110042 0.78196666393889958 1.3016313341809254 0.56464432913517626 0.00012059678229668171 0.018319129934194933 0.00019504498025502801 2.6368642229735973e-13 0.0062465552077796416 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 1.030933590407386 0.42344208372874492 0.66132598681281207 1.0141102115647538 0.44875563728865819 0 0 0 1 running
80 0.0087896133909226067 0.00010987016617241188 0.5 261.68990700000001 0.0020265808542391925 2.7908932129303564e-05 0.0040565186947296387 6.902199526529649e-05 5.7698976963932343e-14 0.0020184803513609508 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 1.1087757967402698 0.45480563352130665 0.73188006342407486 1.5214886058881669 0.47979703670301299 0.00010505717927261618 0.013653953630833882 0.00020715640808133211 2.6891388432159614e-13 0.0048626165326381421 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.89809174807950698 0.31560770611620459 0.70239139617874335 1.0342144800104265 0.34933279358144642 0 0 0 1 running
100 0.010987016729064681 0.00010987016780268255 0.5 324.21080699999999 0.0017691922948920313 2.6349344866131401e-05 0.0035380911346458706 6.5080752023766441e-05 6.140373867186818e-14 0.0017683857645344535 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 1.0468159696032777 0.39668097229266708 0.69008878598427259 1.6191810264951856 0.42034902593891915 9.0726840595527645e-05 0.011713253172889626 0.00019259998607584915 2.8962175134093634e-13 0.004051433133241078 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.77558742231914024 0.27074890284567915 0.65303590835920178 1.1138547558391001 0.29105697415043513 0 0 0 1 running
120 0.013184420113750536 0.00010987017069594265 0.5 386.52401500000002 0.0015804247166279399 2.4885933378129428e-05 0.0031588602870513747 6.1524531124145467e-05 6.2317951049790543e-14 0.0015830061698938766 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.98867704723065952 0.35416266068840313 0.652380122715982 1.643288277430333 0.37628390530805239 7.9012447862964673e-05 0.010143348342224967 0.000180938112730858 2.918647916443266e-13 0.0035867784002487357 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.67544577069933887 0.23446094729645833 0.61349477334573876 1.1224812526332892 0.25767594670614435 0 0 0 1 running
140 0.015381823565743299 0.00010987017441978605 0.5 448.93896899999999 0.0014351192533642837 2.3564437657935941e-05 0.0028671086146544343 5.8347063991615035e-05 7.3091598207443796e-14 0.0014399878076081229 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.93617620401466528 0.32145227176112251 0.6186876043014421 1.927383113366081 0.34228813895216198 6.9712121592333342e-05 0.0088737273531244165 0.00017281932639294709 3.4621078205805493e-13 0.0032388098969097778 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.5959410063802173 0.20511397726558533 0.58596694679198202 1.3314902086348663 0.23267771611694257 0 0 0 1 running
160 0.017579227096851873 0.00010987017852967705 0.5 510.82913400000001 0.0013191414454075904 2.2378550430182355e-05 0.0026343099113356498 5.557817169969781e-05 6.9886778248233138e-14 0.0013257044630346753 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.88906286231801168 0.29535152634032641 0.58932744079945032 1.8428738671291842 0.31512274691162079 6.2262401557930334e-05 0.0078383699078036218 0.00015237155659672761 3.6787017035230324e-13 0.0029593395348213591 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.53225633356943824 0.18118195016465008 0.51663605952215974 1.4147899350829476 0.21260042611139099 0 0 0 1 running
180 0.019776630712240083 0.00010987018280409419 0.5 572.80732799999998 0.00122386546119556 2.1313449705332198e-05 0.0024433220862204587 5.3205153015872464e-05 7.1180532132082918e-14 0.0012313104673796226 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.84674816896704685 0.27393850070599973 0.56416495370893527 1.8769894077622784 0.29268509505768281 5.6148356893150475e-05 0.0069847613203879444 0.00014877537363831316 3.6899648441629015e-13 0.0027135393255194873 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.47998981452860595 0.16145100222976227 0.50444272216672914 1.4191216203618735 0.19494201665179461 0 0 0 1 running
200 0.021974034413036463 0.00010987018704574695 0.5 635.00927300000001 0.0011437393457120761 2.035675443900077e-05 0.0022831702578722198 5.1153067875271311e-05 7.9615252628497842e-14 0.001150999997572893 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.80874024550907597 0.2559827215680533 0.54240551025787209 2.0994081022422311 0.27359512700150868 5.099525587251346e-05 0.0062729944412085459 0.00013873907750682843 3.4691386256016158e-13 0.0025918220115512258 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.4359380178242136 0.14499868972739585 0.4704133232331022 1.3341941822051639 0.18619778419374095 0 0 0 1 running
220 0.024171438197191284 0.00010987019113306848 0.5 697.04415900000004 0.0010750682860795099 1.9500667611128607e-05 0.0021464756846898904 4.9296538268498835e-05 7.8121121191047236e-14 0.001081060039490038 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.77472932920976811 0.24065690486816069 0.52271965502968398 2.0600087215703442 0.25697025145458491 4.6555075095098709e-05 0.0057794250855951468 0.00012387774879024706 3.3515417605751884e-13 0.0024845786539649528 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.39798069074017245 0.13358995813608426 0.42002400859402728 1.2889676663184959 0.17849336797107379 0 0 0 1 running
240 0.026368842060883028 0.00010987019500364724 0.5 758.72814000000005 0.0010153211858376038 1.8740518172032677e-05 0.0020280800458798453 4.7504262018935782e-05 7.3531244554158371e-14 0.0010191511259995129 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.74452984697697044 0.22738271397508725 0.50371511524259382 1.9389763329055665 0.24225437214556439 4.2669570162035445e-05 0.0053970271619488974 0.00012034232024838764 3.4237747323849693e-13 0.0023641725163506266 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.36476506529061403 0.12475092625061991 0.40803666718080944 1.316747706597309 0.16984333107533187 0 0 0 1 running
260 0.028566245999475586 0.0001098701986335011 0.5 821.027826 0.0009626921611592008 1.8071309995994457e-05 0.0019242604073667702 4.5690904883015541e-05 7.525065090294851e-14 0.00096368492744959631 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.71794331098433029 0.21574274383831973 0.4844870426470877 1.9843160825203867 0.22906993976628084 4.002876942934238e-05 0.0050503074380764401 0.00011338316284408298 3.6112752759742854e-13 0.0022303321560098732 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.34218991752084948 0.11673658698484732 0.38444071699655019 1.388858441109623 0.16022817292786909 0 0 0 1 running
280 0.030763650008115914 0.00010987020202163277 0.5 883.03136199999994 0.00091582300803386325 1.7484430459197049e-05 0.0018322573978093051 4.3844335457382849e-05 7.6283990166240905e-14 0.00091338037384972254 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.69462755590676961 0.20542762139058784 0.46490680096971448 2.0115646404298109 0.21711244127806731 3.8107659726296968e-05 0.0047358111287751914 0.00010361232555373059 3.5724833286614973e-13 0.0020863643352497241 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.32576712011275005 0.10946708384720429 0.3513113916246241 1.3739394666877933 0.14988545297978997 0 0 0 1 running
300 0.032961054082075433 0.00010987020517946203 0.5 945.55598599999996 0.00087364664397781915 1.6966522254880208e-05 0.0017499791817832309 4.2016902999837033e-05 7.5292162669630034e-14 0.00086707085810716926 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.67405191799919129 0.19620281584159341 0.4455294796130787 1.9854107237660314 0.20610457171448823 3.6253156698533211e-05 0.0044501805883547796 9.6797772262814313e-05 4.4013396364421861e-13 0.0020099075369047203 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.30991371649431482 0.10286480570153633 0.32820574094901528 1.6927088740455842 0.14439275850658154 0 0 0 1 running
320 0.035158458216921873 0.00010987020812404141 0.5 1006.983557 0.00083531372244670821 1.6500987875593768e-05 0.00167580886125449 4.029191753661158e-05 7.6567424705499644e-14 0.00082371962090274577 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.65555700569255582 0.18788704506494705 0.42723846288169459 2.0190386450775346 0.19579989119873903 3.4466412866232134e-05 0.0041902978258125945 9.2708007675094915e-05 3.5806451368775494e-13 0.0019253289461450551 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.29463955909896378 0.096857680969556992 0.31433884933114753 1.377078412176385 0.13831659042116068 0 0 0 1 running
340 0.037355862408585225 0.00010987021087396504 0.5 1069.166273 0.00080016111058210312 1.6070997747336134e-05 0.0016084752241487586 3.8745237149039761e-05 7.2891064243807324e-14 0.00078251964663463437 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.63847420779686992 0.18033778428600544 0.4108381178061592 1.922095148885234 0.18600657042018798 3.2753797580065635e-05 0.0039533398994755498 8.6703252494752374e-05 3.3084634258897624e-13 0.0018267625481632743 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.27999909695453734 0.091380458064068054 0.29397892701980671 1.2724001924527275 0.1312355312981302 0 0 0 1 running
360 0.039553266653362326 0.00010987021344709693 0.5 1131.534388 0.00076768981513661121 1.5662362000054187e-05 0.0015469636860298032 3.7418291816361494e-05 7.0862749243818747e-14 0.00074296445223283119 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.62223978420194603 0.17344128110967136 0.39676775037461753 1.8686096570442994 0.17660421728486977 3.1122577314676314e-05 0.003736788325722773 7.9358618398008441e-05 3.4083135311689232e-13 0.0017192129697433667 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.26605444824238533 0.086374922869219578 0.2690759667618331 1.3108014914302013 0.12350911601825827 0 0 0 1 running
380 0.041750670947889437 0.00010987021585949256 0.5 1193.0844039999999 0.00073753725454665949 1.526519513542207e-05 0.001490453547981926 3.6309461549086372e-05 7.4739458496724976e-14 0.00070484241313126261 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.60646100037994022 0.16710552104806162 0.38501018290325412 1.9708362348279076 0.16754252818709062 2.9578493565694077e-05 0.0035384153779418615 7.506235896931187e-05 3.6826997405826597e-13 0.0016074888619152516 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.2528546947090628 0.081789582044327722 0.25450892687917831 1.4163275380330951 0.11548280046653295 0 0 0 1 running
400 0.043948075289101524 0.00010987021812507784 0.5 1255.007026 0.00070944379459793479 1.4874203521523028e-05 0.0014382729654441001 3.5381147316117264e-05 7.6694556978533131e-14 0.00066816936312914983 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.59092754907441758 0.16125517875099291 0.37516673115875632 2.022391049488137 0.15882526685432047 2.8366330123778339e-05 0.0033562598726402104 7.2467686783924011e-05 3.5457615505433324e-13 0.0015061522158683616 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.24249239494006511 0.077579103325924367 0.24571134520743396 1.3636625522282999 0.10820272534275417 0 0 0 1 running
420 0.046145479674190762 0.00010987022025578631 0.5 1317.293148 0.00068322026847975547 1.4488021250919165e-05 0.0013898661140118716 3.4574399901218102e-05 8.5586499266748529e-14 0.00063310075781109951 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.57558516503793999 0.15582793672669015 0.3666123225689415 2.2568664178155831 0.15048938540689227 2.7395550118175928e-05 0.0031999654459829996 6.8841810868407915e-05 4.3396876638906423e-13 0.0014344657976630426 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.23419358548916874 0.073966396939941337 0.2334173299256555 1.6689981746538938 0.10305273735471812 0 0 0 1 running
440 0.048342884100570291 0.00010987022226194353 0.5 1379.008865 0.00065872256997325245 1.4108154036964024e-05 0.0013447689072154389 3.3823166709778568e-05 7.789392072098957e-14 0.00059985886717695361 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.56049366777615894 0.15077176288636229 0.35864656333981826 2.0540175767592106 0.142587717892559 2.6421564173058422e-05 0.0030788936094168218 6.4389859405793528e-05 4.0410434207910263e-13 0.0013571332908015599 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.22586736974540134 0.071167851870355237 0.21832239546281226 1.554142743754682 0.097497131545530108 0 0 0 1 running
460 0.050540288565844811 0.00010987022415206487 0.5 1441.335094 0.00063583538537117189 1.3737932018378659e-05 0.0013025907907329279 3.3064025346788017e-05 7.6892162193907681e-14 0.00056869012458457958 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.54578535820250906 0.14604286936185151 0.35059694920221141 2.0276017845735161 0.13517884204023925 2.5455073086268326e-05 0.0029641692239086304 6.2924270585734628e-05 3.4952089757543278e-13 0.0012772434766658014 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.21760522454363282 0.068516026536477925 0.21335312134245307 1.3442205643292764 0.091757807508064643 0 0 0 1 running
480 0.052737693067766538 0.00010987022593403804 0.5 1503.0894820000001 0.00061446337167502115 1.3381642355326324e-05 0.0012630008961304461 3.2241184732437455e-05 7.359048890516819e-14 0.00053984845065980223 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.53163055811231186 0.14160416010134272 0.34187189512772304 1.9405385721300334 0.12832311531823651 2.4504131363492761e-05 0.0028554481696905221 6.2080626366233432e-05 3.5684327151877429e-13 0.0011973411970512826 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.2094760046269902 0.066002966696372317 0.21049263323734496 1.3723816434024505 0.086017587944396484 0 0 0 1 running
500 0.054935097604285152 0.00010987022761801156 0.5 1565.565167 0.00059452631620483354 1.3043844392882991e-05 0.0012257173481230188 3.1308508095279689e-05 7.9468905540266047e-14 0.00051358964286191101 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.51821040275810226 0.13742403202909426 0.33198218629311932 2.0955490142832058 0.12208134132212729 2.3574488753285458e-05 0.0027523868735952473 6.0239622257001843e-05 3.7388992568295371e-13 0.0011194192754448995 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.2015288622929689 0.06362073074263809 0.20425046357129104 1.4379412801493603 0.080419638286370679 0 0 0 1 running
520 0.057132502173526591 0.00010987022921217688 0.5 1627.4540730000001 0.00057595502733652233 1.27288001592297e-05 0.0011904988733763321 3.0230438523555068e-05 7.8703001045337872e-14 0.00049016068619783749 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.50569421548304028 0.1334754342475454 0.3205507922353748 2.075352556329364 0.11651222890897624 2.2670044903855084e-05 0.0026546492292873758 5.7470367816438857e-05 3.832729513863354e-13 0.0010449631469447995 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.19379713407221696 0.061361549661815493 0.19486093750788513 1.47402740888618 0.075070672931274562 0 0 0 1 running
540 0.059329906773781214 0.00010987023072478435 0.5 1689.416995 0.00055868607570829757 1.2439959723352812e-05 0.0011571381086362272 2.8982996874663561e-05 8.0552457008090079e-14 0.00046977365484636018 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.49421906183200037 0.12973511776334146 0.3073234482619156 2.1241216389454802 0.11166618855836544 2.1793316872427023e-05 0.0025619110806446299 5.4803342977528746e-05 3.7954597031761074e-13 0.00098082168144464354 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.18630233727882192 0.059217930666618047 0.18581803452653017 1.4596938321810435 0.070462718103419558 0 0 0 1 running
560 0.0615273114035048 0.00010987023216411008 0.5 1750.9777260000001 0.0005426551093271919 1.2179486127215439e-05 0.0011254561831847791 2.7555301592665768e-05 7.6800478978566542e-14 0.00045256334760726693 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.48387087589106359 0.1261830280873241 0.29218477095300038 2.0251841512837623 0.10757526222930912 2.0945857442110817e-05 0.0024738629776392962 5.3536605342824665e-05 3.9654167034512951e-13 0.00092271060094062385 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.17905774603366625 0.057182720897438574 0.18152299183838588 1.5250575046842931 0.066287989137182937 0 0 0 1 running
580 0.063724716061317827 0.00010987023353832577 0.5 1813.4932940000001 0.00052778970738195767 1.1947853411432299e-05 0.0010952982754229143 2.5951676287355438e-05 7.8078155021024044e-14 0.00043853771017323881 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.47466849051122667 0.12280180705088899 0.27518060603936917 2.0588757285509045 0.10424133862971587 2.0128590235355689e-05 0.002390211713296897 5.1232387533767765e-05 3.6616627994670643e-13 0.00086423048202277641 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.17207125601513892 0.055249142948762583 0.17371023442000097 1.4082369520182589 0.062086748267493518 0 0 0 1 running
600 0.065922120746001525 0.00010987023485530849 0.5 1875.5500360000001 0.00051400332168143438 1.1743580548815258e-05 0.0010665299302707587 2.4194363868498194e-05 7.8475465524299071e-14 0.00042753678485866342 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.46655306692743376 0.11957637992311934 0.25654680793449441 2.0693525764179044 0.10162639548034827 1.9454291367361164e-05 0.002310681012086313 4.7970265211853682e-05 3.7713445547772252e-13 0.00080691016407197225 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.16630694506296886 0.053410810781132925 0.16264957415167131 1.4504194000613921 0.057968828076927416 0 0 0 1 running
620 0.068119525456489596 0.0001098702361224316 0.5 1937.9332420000001 0.00050119181339900647 1.1563162961195879e-05 0.001039033983614156 2.2327020784176902e-05 8.3373242382240102e-14 0.00041921634914570788 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.45938537403499968 0.11649361058825308 0.2367462911610432 2.1985041155898766 0.099648610362716425 1.8790466309976955e-05 0.0022350116314667767 4.3851738955393828e-05 3.616914867769305e-13 0.0007520691945480662 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.16063217052273368 0.051661732068383016 0.148685162264698 1.3910273687239301 0.054029025512214932 0 0 0 1 running
640 0.070316930191855545 0.00010987023734604885 0.5 1999.479812 0.00048923356642038406 1.1401234314468464e-05 0.0010127079803255795 2.0419306109587509e-05 8.154062502141686e-14 0.00041306539789848885 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.45295221623955151 0.11354201206134353 0.21651769110874181 2.1501790571544666 0.098186516278258001 1.8136689099234049e-05 0.0021629610674461786 3.899461739337352e-05 3.77368342141771e-13 0.00070906911279955409 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.15504329099906952 0.049996301391691103 0.13221644460853024 1.4513189035409189 0.050939878222764023 0 0 0 1 running
660 0.072514334951272519 0.00010987023853062328 0.5 2061.398917 0.00047799338476821828 1.1250945921376738e-05 0.00098746199939482257 1.8572551880883706e-05 7.7146482924030007e-14 0.0004084552064726015 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.44698150650336171 0.11071150264793997 0.19693548985771553 2.0343080749357205 0.097090664052952469 1.7496786590264416e-05 0.0020943030004592078 3.3527689195179028e-05 3.7453965095978143e-13 0.00068033723918736744 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.14957302074376677 0.04840928743119275 0.11368009632220946 1.4404400551420282 0.048875766112256143 0 0 0 1 running
680 0.074711739734031501 0.00010987023968262226 0.5 2124.4264410000001 0.00046732960368608425 1.1104508198990511e-05 0.00096321681811463835 1.6924605620111893e-05 8.2503808958984021e-14 0.00040470779746668673 2.5170942774322858e-05 0.008919235813598601 9.4307795381636086e-05 3.7922713808461708e-14 0.0042069462646772433 0.44116377755696684 0.10799320011766948 0.17946136426604992 2.1755776597553238 0.096199897028572082 1.6873513539446847e-05 0.002028826577976317 2.7585884143683733e-05 3.6323230303277131e-13 0.00066092383697502477 0.00011697822577400589 0.043262421563960762 0.00029493016174220806 2.6001752007850933e-13 0.013919725322050047 0.14424490906577217 0.046895816383667403 0.093533614808091234 1.396953185781856 0.047481097628274627 0 0 0 1 running
