# step time total_mass total_momentum_x total_momentum_y total_momentum_z total_energy
0 0 19.678761677315133 13.116988549454383 0 0 886.46094783484114
20 0.0021974033827714787 19.678761677314249 13.116966920271494 -4.9889079231698266e-17 -1.8932721622259511e-17 886.46092236444849
40 0.0043948067395711294 19.678761677313997 13.116913638652564 -2.5077778891068969e-16 -2.8856472712446389e-17 886.46089025530341
60 0.0065922100709109284 19.678761677313922 13.116863443992695 -3.5642283505645943e-16 -3.6245427060920718e-17 886.46086240931891
80 0.0087896133909226067 19.678761677314043 13.116816925341404 -4.474629950185357e-16 -5.1174370829254926e-17 886.46083747080945
100 0.010987016729064681 19.678761677314501 13.116773717066511 -6.1540014112458716e-16 -6.6693282587894592e-17 886.46081464232566
120 0.013184420113750536 19.678761677313908 13.116733367582311 -8.2486810672790503e-16 -7.4289480434826469e-17 886.46079344576117
140 0.015381823565743299 19.678761677314071 13.11669548421434 -9.3976992596796378e-16 -8.6176513045966332e-17 886.46077357619902
160 0.017579227096851873 19.678761677314409 13.116659745456847 -1.0578105316731918e-15 -9.670631288884344e-17 886.46075482617971
180 0.019776630712240083 19.678761677314199 13.116625890007136 -1.1464446945485922e-15 -1.1351165658547108e-16 886.46073704556125
200 0.021974034413036463 19.67876167731481 13.116593704074042 -1.1651456997163094e-15 -1.2309695568171804e-16 886.46072011995534
220 0.024171438197191284 19.678761677314469 13.11656301087773 -1.213417048589148e-15 -1.3228153085742393e-16 886.46070395835068
240 0.026368842060883028 19.678761677314462 13.116533662587507 -1.2880389571763573e-15 -1.4374708813395712e-16 886.46068848646405
260 0.028566245999475586 19.678761677313396 13.116505534233188 -1.3330606641470547e-15 -1.5127750367798461e-16 886.46067364205351
280 0.030763650008115914 19.67876167731422 13.11647851909923 -1.4091509043483294e-15 -1.634364151988249e-16 886.46065937234289
300 0.032961054082075433 19.678761677313958 13.116452525220561 -1.512760397972949e-15 -1.7464818481162807e-16 886.46064563177197
320 0.035158458216921873 19.678761677314039 13.11642747267879 -1.5145753778206782e-15 -1.8469216365811728e-16 886.460632381285
340 0.037355862408585225 19.678761677314061 13.116403291500298 -1.5133573444425265e-15 -1.9148190419301251e-16 886.46061958650387
360 0.039553266653362326 19.678761677313663 13.116379919990546 -1.4819730796808601e-15 -2.0474106660071898e-16 886.46060721739877
380 0.041750670947889437 19.678761677313773 13.116357303424916 -1.4851596176284308e-15 -2.1482183986162953e-16 886.46059524732436
400 0.043948075289101524 19.678761677314657 13.116335392973843 -1.4600743133790211e-15 -2.2084604663318795e-16 886.4605836526614
420 0.046145479674190762 19.678761677314036 13.116314144849852 -1.4130855841465624e-15 -2.2824607681433307e-16 886.46057241216533
440 0.048342884100570291 19.678761677314291 13.116293519596638 -1.3948375298473894e-15 -2.3579495773254927e-16 886.46056150660752
