# step time total_mass total_momentum_x total_momentum_y total_energy
0 0 97.631688451856675 97.63168845185676 97.631688451856704 273.00432432647074
100 0.70796232281267513 97.631688451856078 97.631688451856206 97.631688451856022 273.00432432646926
200 1.3414489199200943 97.631688451855524 97.631688451855723 97.631688451855538 273.00432432646801
300 1.9603338944265443 97.631688451855013 97.631688451854998 97.631688451855211 273.00432432646699
400 2.638506103658151 97.631688451854444 97.631688451854444 97.631688451854529 273.00432432646562
500 3.3993027475226003 97.631688451853961 97.631688451853989 97.631688451853961 273.00432432646414
600 4.1754241499817137 97.631688451853279 97.631688451853364 97.631688451853236 273.00432432646289
700 4.9521102119256772 97.63168845185271 97.631688451852767 97.631688451852668 273.00432432646153
800 5.7288374151151888 97.631688451852256 97.631688451852142 97.631688451852256 273.00432432646051
900 6.5055755405098834 97.631688451851545 97.631688451851545 97.631688451851673 273.00432432645914
1000 7.2823323980349661 97.631688451850991 97.631688451851048 97.631688451851048 273.00432432645738
1100 8.0590570730398721 97.631688451850579 97.631688451850408 97.631688451850565 273.00432432645687
1200 8.8356710411066945 97.631688451849797 97.631688451849925 97.631688451849925 273.00432432645562
1300 9.6091915625705262 97.63168845184947 97.631688451849399 97.631688451849314 273.00432432645403
1352 10 97.631688451849087 97.631688451849101 97.631688451848945 273.00432432645323
