# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.20000000000000001 0 16489.112969336999 434.10329879308745 3705.3904494626286 2181.9794531443526 0 36616.592334443849 nan nan nan nan nan nan nan nan nan nan 11071.361337389229 92429.694386841176 58370.906405093636 0 931851.77430755948 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
1 8.2100942993435199e-05 8.2100942993435199e-05 0.20000000000000001 1.787134 16167.654015907925 405.19621296456063 3612.1886634836424 2121.5271756618622 0 35906.158433085628 nan nan nan nan nan nan nan nan nan nan 10504.634316196822 90104.715854175418 57024.453075764715 0 916032.30763991748 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
2 0.0001641639823323828 8.206303933894759e-05 0.20000000000000001 2.440982 15875.900467596399 392.83217513561226 3540.4583620408266 2071.1878966314539 0 35259.638348270375 nan nan nan nan nan nan nan nan nan nan 10333.009187149153 88989.886023848841 56667.186781672375 0 907362.14768253709 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
3 0.00024620993483842596 8.2045952506043174e-05 0.20000000000000001 2.9962909999999998 15274.454621432149 374.29240641877857 3404.6605001870653 1977.1868147084356 0 33924.97228125111 nan nan nan nan nan nan nan nan nan nan 9917.1369910488647 86698.499592694498 55517.557854313971 0 884631.67970383225 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
4 0.00032824813879531135 8.2038203956885387e-05 0.20000000000000001 3.6262500000000002 14372.00760720646 351.31383309901531 3202.9786971222493 1858.5534498091611 0 31920.781607577512 nan nan nan nan nan nan nan nan nan nan 9327.3355147130969 80899.603731573472 51735.8473674587 0 830849.35647829785 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
5 0.00041028371067118824 8.2035571875876918e-05 0.20000000000000001 4.2756499999999997 13350.780088806967 329.344524895137 2986.9568068558337 1734.1803875171865 0 29650.950819490979 nan nan nan nan nan nan nan nan nan nan 8574.0395920709198 73628.514262222336 46466.013884392421 0 769416.88655758544 nan nan nan nan nan nan nan nan nan nan 0 1 0 0 running
6 0.00049231905153931683 8.2035340868128601e-05 0.20000000000000001 4.8579319999999999 12550.886239188856 309.18137603854888 2789.9836358123457 1633.8102182852167 0 27876.061222929937 nan nan nan nan nan nan nan nan nan nan 7800.2532643135637 66228.758069101037 40083.038945829903 0 697997.98229342583 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
7 0.00057435597434222488 8.2036922802908102e-05 0.20000000000000001 5.4706149999999996 11968.146303015543 297.72758055980552 2671.6391276417226 1566.3409259121663 0 26580.122430402076 nan nan nan nan nan nan nan nan nan nan 6493.0257160517867 53684.715832321534 33232.652490266904 0 569482.65813430655 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
8 0.0006558829770387818 8.1527002696556947e-05 0.20000000000000001 6.0858600000000003 11601.491151661608 287.29525598817338 2576.2480515195475 1533.9127520174161 0 25766.266780279595 nan nan nan nan nan nan nan nan nan nan 6723.0864069350482 60855.107710790675 34991.83462885164 0 599001.59506236622 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
9 0.00073670149660487677 8.0818519566094925e-05 0.20000000000000001 6.7509329999999999 11840.77937317322 288.76468409305846 2618.9259146543081 1542.81043852174 0 26300.149406084809 nan nan nan nan nan nan nan nan nan nan 7486.7928847302574 69138.45671675136 41396.49679613777 0 694920.09425000031 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
