# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.20000000000000001 0 16489.783292272794 434.12842166374656 3705.5572661859892 2181.9317135661513 0 36618.087292872755 nan nan nan nan nan nan nan nan nan nan 11071.361337386279 92429.694386896546 58278.875493239488 0 931851.77430787019 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
1 8.2100942993435199e-05 8.2100942993435199e-05 0.20000000000000001 1.5164280000000001 16155.096157765347 404.59620158322338 3608.5635984891264 2119.2637474417697 0 35878.391145246831 nan nan nan nan nan nan nan nan nan nan 10504.168506138325 90101.04403879348 56868.353200755628 0 916264.81002850085 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
2 0.00016416399293439244 8.2063049940957243e-05 0.20000000000000001 2.2052870000000002 15729.958238017769 387.56026771071032 3501.2842896050438 2052.7607979677264 0 34936.1547586093 nan nan nan nan nan nan nan nan nan nan 10182.35607360211 88473.158438620972 56424.936901216686 0 900925.51368298219 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
3 0.00024620988010741127 8.2045887173018851e-05 0.20000000000000001 2.9095819999999999 14990.084692527949 366.53086688132419 3334.7712177542508 1943.5114387180568 0 33293.857012701861 nan nan nan nan nan nan nan nan nan nan 9704.0259714815948 84935.825649418388 54375.581873711009 0 868061.20340217743 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
4 0.00032824790106649636 8.2038020959085111e-05 0.20000000000000001 3.5892819999999999 14024.927702351953 342.70149111594867 3122.8541412610602 1818.0157327822133 0 31149.930044492045 nan nan nan nan nan nan nan nan nan nan 9082.9750119778364 78181.369385753962 49807.316991494794 0 810768.64152791863 nan nan nan nan nan nan nan nan nan nan 0 1 0 0 running
5 0.000410283234102669 8.2035333036172638e-05 0.20000000000000001 4.2716500000000002 13055.768168458675 321.86300017996928 2918.7566913199034 1699.7122495035792 0 28995.752347500347 nan nan nan nan nan nan nan nan nan nan 8522.9454983046253 72638.623567330869 44766.950077710004 0 755059.74651963287 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
6 0.00049231776236670333 8.2034528264034371e-05 0.20000000000000001 4.9083100000000002 12243.784277582587 301.92024660902752 2729.4273477188453 1591.1209842287501 0 27193.3571247033 nan nan nan nan nan nan nan nan nan nan 7686.8778753997231 65249.551419037583 38909.626040997573 0 688311.85429598577 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
7 0.00057435266759475647 8.2034905228053141e-05 0.20000000000000001 5.5794560000000004 11709.900229763498 290.8598446085478 2614.2963728335931 1532.4039335540722 0 26006.564751333219 nan nan nan nan nan nan nan nan nan nan 6460.6044333684222 52922.873893197888 31924.094913652087 0 569634.29315627972 nan nan nan nan nan nan nan nan nan nan 0 2 0 0 running
8 0.00065597694243554276 8.1624274840786336e-05 0.20000000000000001 6.2340330000000002 11514.310189477943 283.12049997069948 2553.7439449664466 1510.0754851101738 0 25573.709202477665 nan nan nan nan nan nan nan nan nan nan 6674.5399303666809 59834.960150252402 34009.029764819679 0 598375.51980630634 nan nan nan nan nan nan nan nan nan nan 0 3 0 0 running
9 0.00073700215415828363 8.1025211722740906e-05 0.20000000000000001 6.8598970000000001 11554.337778530111 279.52275038970714 2545.285288960999 1503.8148174690693 0 25665.064549430113 nan nan nan nan nan nan nan nan nan nan 7267.6599336201889 66884.864627247516 36750.245214547205 0 681307.26680167671 nan nan nan nan nan nan nan nan nan nan 0 2 0 0 running
