# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.02 0 0.26562722182036164 0.35885550702767555 0.36798082241804481 0.20552889159307758 0 0.21531330425449405 nan nan nan nan nan nan nan nan nan nan 15.940003939718368 19.121171730181871 13.746785208894204 0 9.5640023655139874 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
10 0.0065110380111390769 0.00064155178447089945 0.02 0.39904400000000001 0.23549881230327643 0.32845846161094433 0.31488133507828497 0.17416976662746431 0 0.19982024219205724 nan nan nan nan nan nan nan nan nan nan 14.471060896555761 17.313059042647701 11.435161649569341 0 8.8099028939369823 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
20 0.012911908594361898 0.00064062829710881094 0.02 0.71842200000000001 0.21247020277046405 0.30477031554841816 0.27535522991959077 0.14940349873842881 0 0.1862554214184752 nan nan nan nan nan nan nan nan nan nan 13.060565186116488 15.542262710257278 9.7228924175495184 0 8.0762906558715848 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
30 0.019345965042602224 0.00064610287297203609 0.02 1.0267999999999999 0.19465294666002292 0.28516300521346877 0.2461744949500638 0.13057033362106873 0 0.17458641037874528 nan nan nan nan nan nan nan nan nan nan 11.918204122557778 13.818544865069311 8.3979711736433416 0 7.4280386114496491 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
40 0.025844783788430407 0.00065304160721517813 0.02 1.3759140000000001 0.18037650539893277 0.2684694966827797 0.22365211155692258 0.11616589627925919 0 0.16458361214992612 nan nan nan nan nan nan nan nan nan nan 11.006572005793503 12.172152381982993 7.3518271750883342 0 6.8704638130098505 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
50 0.032406352621307408 0.00065712397330423421 0.02 1.694013 0.16866030141972274 0.25408002595572632 0.20568739974058131 0.10503636738606263 0 0.15599641630369093 nan nan nan nan nan nan nan nan nan nan 10.219755738449123 10.633302196033281 6.5175397784076932 0 6.3935279921323609 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
60 0.038978892090151748 0.00065747933335014142 0.02 1.999649 0.15895723580120041 0.2416853555122527 0.19116185343812797 0.096378670078558742 0 0.14863882649797855 nan nan nan nan nan nan nan nan nan nan 9.5390100623000578 9.2313396181712992 5.849321691792178 0 5.9858663414894453 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
70 0.045559171189539116 0.00065858192113563585 0.02 2.2850790000000001 0.15082781229804149 0.23096159875059413 0.17927499558726559 0.089531308464137621 0 0.14229021567740022 nan nan nan nan nan nan nan nan nan nan 8.9451497253499213 7.9735804341943881 5.306730777549296 0 5.6329935657575172 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
80 0.052154158224746824 0.0006603404413483353 0.02 2.671929 0.14394603510641618 0.22163294055755536 0.16946524334869664 0.084015324317840631 0 0.13676293851272073 nan nan nan nan nan nan nan nan nan nan 8.4224951423551833 7.0858440185299241 4.8594775215053225 0 5.3227421584868839 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
90 0.058769919998076015 0.00066266562862199398 0.02 3.0062319999999998 0.13806746917983695 0.21347223399959278 0.1613188084804435 0.079492963678294087 0 0.13190847696770913 nan nan nan nan nan nan nan nan nan nan 7.9587609395488403 6.9379978868770031 4.485352166778581 0 5.0549189229668778 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
100 0.065411641200199336 0.00066547015712550947 0.02 3.3696660000000001 0.13300155315516951 0.20628915706754519 0.15451148748851579 0.075723633015714858 0 0.12760870276664571 nan nan nan nan nan nan nan nan nan nan 7.544171932798565 6.6939134838518708 4.1679956243019234 0 4.8127462212784824 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
110 0.072083645459287055 0.00066866899795520174 0.02 3.755258 0.12859261942223074 0.19991900249104907 0.14877312408199783 0.072534365984082888 0 0.1237660074273501 nan nan nan nan nan nan nan nan nan nan 7.1708816228277303 6.3826862371716233 3.9016684316561041 0 4.5913753394641796 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
120 0.078789421123634559 0.00067217994048726073 0.02 4.105118 0.12471371978170155 0.19422181105814382 0.14387978514831248 0.069799268404461545 0 0.1203001129430723 nan nan nan nan nan nan nan nan nan nan 6.8325527681294735 6.0279941397488379 3.6730620714428848 0 4.3872205528139965 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
130 0.085531654995355796 0.00067592473814772898 0.02 4.45939 0.12126152853980625 0.18908013004430446 0.13964754682752253 0.067424837549254907 0 0.11714499514700422 nan nan nan nan nan nan nan nan nan nan 6.5242154958574758 5.6487792119081588 3.4704991677876436 0 4.1976073641395422 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
140 0.092312278877837925 0.00067983028089950242 0.02 4.797085 0.11815273729792297 0.1843969545879369 0.13592829316363236 0.065339925118029232 0 0.11424667652429223 nan nan nan nan nan nan nan nan nan nan 6.2470442497255414 5.2598805457440108 3.289217047154732 0 4.0205119820429909 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
150 0.099132526385970851 0.00068382959074184189 0.02 5.1281840000000001 0.11532161319385902 0.18009379913400445 0.1326064379409844 0.063491367121236583 0 0.11156152911882865 nan nan nan nan nan nan nan nan nan nan 5.9912631538387515 4.8726354190653076 3.1254968456153964 0 3.8543737028967859 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
160 0.10599299931357957 0.00068786270680314435 0.02 5.4597610000000003 0.11271716169549735 0.17610856508860265 0.12959517085884012 0.061836429866773387 0 0.10905463601918776 nan nan nan nan nan nan nan nan nan nan 5.7541131914214567 4.6641419234400026 2.9763893491091369 0 3.6997362146768249 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
