# step time total_mass total_momentum_x total_momentum_y total_energy
0 0 200.27140673540646 200.27140673540646 0 114.44080386390702
100 0.065411641200199336 200.27140670914102 200.20191193083141 -3.3233081828492025e-09 114.44080384699083
200 0.13382353993311524 200.27140662517266 200.14999351448242 -1.2692506930922929e-08 114.44080379297631
300 0.20528192561497138 200.27140647530342 200.09935934804352 -2.9484862567121154e-08 114.440803696698
400 0.27776650008214665 200.27140625790597 200.04911469070493 -5.4467541042089793e-08 114.440803557219
500 0.34925789312971889 200.27140597853779 200.00010024114925 -8.7340146539231286e-08 114.44080337819848
600 0.41941337687891356 200.27140564128106 199.95237680204301 -1.2779840646646992e-07 114.44080316232508
700 0.48873047920733664 200.27140524629948 199.90552857703821 -1.7590252081529279e-07 114.44080290976349
800 0.55706372101322421 200.2714047965213 199.85960269256046 -2.3136940776114617e-07 114.44080262243942
900 0.62554945557369024 200.27140428527656 199.81379750008338 -2.9509126168980087e-07 114.44080229614079
1000 0.69394077171521629 200.27140371406429 199.76825129495975 -3.6690840663083947e-07 114.4408019318726
1100 0.76241810601088833 200.27140308113815 199.72281965025789 -4.4712090313649792e-07 114.44080152856667
1200 0.83112301580476378 200.2714023845393 199.67738591608071 -5.360704352174873e-07 114.44080108501552
1300 0.90015405700506035 200.27140162230543 199.63186339486461 -6.3409263708427593e-07 114.44080060001004
1400 0.96957212449828956 200.27140079258956 199.58619175413924 -7.415343887858484e-07 114.44080007241435
1500 1.0391623665895702 200.27139989700436 199.54049333776891 -8.582291771855619e-07 114.44079950328786
1600 1.1094356754984354 200.27139892761099 199.4944165812401 -9.8519213609514993e-07 114.44079888762055
1700 1.1801457270555411 200.27139788607724 199.44810959472963 -1.1221896074624221e-06 114.44079822650554
1800 1.2512859893477508 200.27139677111646 199.40156489781407 -1.2693530323437905e-06 114.44079751915812
1900 1.32284513828216 200.27139558155253 199.35477993380869 -1.4267785932971341e-06 114.44079676486096
2000 1.3948091892261387 200.27139431630923 199.30775546916726 -1.59452719882927e-06 114.44079596295983
2100 1.4671630880488575 200.27139297440718 199.26049436776069 -1.7726264638513953e-06 114.44079511286303
2200 1.5393174589531373 200.27139156646834 199.21337572052002 -1.9595465064265789e-06 114.44079422132832
2300 1.6124027654627771 200.27139006946959 199.16565661580177 -2.1582250462991987e-06 114.44079327381914
2400 1.68583314862778 200.27138849390431 199.11771586220095 -2.3671607761747052e-06 114.44079227704931
2500 1.7595945830993087 200.27138683993542 199.06955958928555 -2.5862771537585753e-06 114.44079123123325
2600 1.8336736630558255 200.27138510865848 199.02119418624326 -2.8154775797560464e-06 114.44079013726446
2700 1.9080575553540369 200.27138330277745 198.97262621589306 -3.0546596255743041e-06 114.4407889972037
2800 1.9827339570338529 200.27138142768703 198.92386229454453 -3.30370738521698e-06 114.44078781507383
2900 2.0569906610582684 200.27137951147063 198.87536653658026 -3.5600287460637448e-06 114.44078660960372
3000 2.132214859299304 200.27137753481961 198.82623226434666 -3.8283107335753896e-06 114.44078537043522
3100 2.2076979637901641 200.27137554372587 198.7769217246834 -4.1060407186045882e-06 114.44078412949341
3200 2.283429749433691 200.27137358430758 198.72744129933363 -4.393070626691629e-06 114.44078292063909
3300 2.3594004640953883 200.27137173063639 198.67779722854664 -4.6892484249065678e-06 114.44078179826751
3400 2.4356008061882792 200.27137009986606 198.62799561645684 -4.994418152348071e-06 114.44078084844391
3500 2.5114766695507247 200.27136888123607 198.57839887205 -5.3061521876984426e-06 114.44078020838253
3600 2.5881085165513147 200.27136833511602 198.52830111525262 -5.6287630409020833e-06 114.44078007316097
3700 2.6649445160502969 200.27136889301264 198.47806362273107 -5.9598813310179008e-06 114.44078075818899
3800 2.7419768445629558 200.27137117875307 198.42769238100783 -6.2993423388469288e-06 114.44078272191518
3900 2.8191979872217519 200.27137609916599 198.37719353411401 -6.6469809452470209e-06 114.44078663030203
4000 2.8966007212654823 200.27138494664479 198.32657350270827 -7.0026320141232077e-06 114.4407934314123
4100 2.9741781021086542 200.27139952615079 198.27583913175604 -7.366129956418261e-06 114.44080444726048
4200 3.0513296257175195 200.27142209487712 198.22538617926153 -7.7344498333487258e-06 114.44082132472278
4300 3.1292353133063582 200.27145628632445 198.17444700594785 -8.1130941288150297e-06 114.44084671946105
4400 3.207296417721349 200.27150630339739 198.12341842566582 -8.4990982945244646e-06 114.44088368285267
4500 3.285506999598971 200.27157773856121 198.07231100177228 -8.8923015458346573e-06 114.44093626438601
4600 3.3638613551962884 200.27167765639226 198.02113681392839 -9.2925443839230348e-06 114.4410095565804
4700 3.4423540137777655 200.27181481256298 197.96990969669929 -9.6996688902638373e-06 114.44110983747397
4800 3.5204549798854785 200.27199843934221 197.91898740627389 -1.0110737135048132e-05 114.44124366384115
4900 3.5992078953886768 200.27224364992159 197.86770409383658 -1.053111484695666e-05 114.44142177793663
5000 3.6780840602964977 200.27256430584177 197.81642178078704 -1.0957911323529671e-05 114.44165386773948
5100 3.7570788540626663 200.27297762469047 197.7651631115605 -1.1390976931677974e-05 114.44195188037044
5200 3.8361878446946509 200.27350314155134 197.7139531014781 -1.1830163620280045e-05 114.4423292051987
5300 3.9154067801385426 200.27416265897759 197.66281904096945 -1.2275324269044911e-05 114.44280056799221
5400 3.9947315818283231 200.27498012053218 197.61179030277791 -1.272631315535786e-05 114.44338185852052
5500 4.0738698228581072 200.27597740724673 197.56108251851387 -1.3181318433034032e-05 114.44408707104901
5600 4.153394445939095 200.27718924114237 197.51035866394008 -1.364351356113984e-05 114.44493872756776
5700 4.2330137121821529 200.27864119170434 197.45983729190516 -1.4111109542854931e-05 114.4459521982068
5800 4.3127241905263825 200.28036303234583 197.40955236967915 -1.4583966508254132e-05 114.44714504065568
5900 4.3925225960163745 200.28238502320781 197.35953773099155 -1.5061944914937877e-05 114.44853423450638
6000 4.4724057826708234 200.28473745653207 197.30982648490027 -1.5544905361122618e-05 114.4501357271082
6100 4.5519861211559665 200.28743625164932 197.26068694699924 -1.6030351891292574e-05 114.4519546273945
