# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks robustness_level0_faces robustness_level1_faces robustness_level2_faces robustness_level3_faces troubled_cells local_recomputations step_retries proposed_dt accepted_dt minimum_rho minimum_p minimum_T minimum_e residual_checked stop_reason
0 0 0 0.02 0 0.28961930949219394 0.39128518208797353 0.4012032507067419 0.22407835868836404 0 0.23477109963095905 nan nan nan nan nan nan nan nan nan nan 17.390894327540533 20.861304888164621 14.996463870778285 0 10.434535407671799 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan 0 running
10 0.0065068264147239534 0.00064141739351928435 0.02 0.112743 0.25639685762835612 0.37385519983940019 0.32964458198010549 0.1706743175576311 0 0.22612775030702917 nan nan nan nan nan nan nan nan nan nan 16.597332864930177 19.596993973320512 11.167626454356521 0 9.9679226642940044 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00064141739351928435 0.00064141739351928435 0.88937207795498097 0.028007412246578961 0.99842310696506398 0.071315936287087073 0 running
20 0.012907347775131476 0.00064040300116367246 0.02 0.21240100000000001 0.2377004049696807 0.3594934174183097 0.29312215372736322 0.14040168775609521 0 0.21826283356569898 nan nan nan nan nan nan nan nan nan nan 15.783184522974789 17.758725215153731 9.1323096147000626 0 9.5792418937295754 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00064040300116367246 0.00064040300116367246 0.78573385566450271 0.02738110914192499 0.99704004280360548 0.071217145989735733 0 running
30 0.019331935087219206 0.00064443615842634373 0.02 0.310946 0.22497958589433845 0.34727402044750083 0.27008964486708553 0.12220170479845367 0 0.21118274585792296 nan nan nan nan nan nan nan nan nan nan 15.331463390256872 16.268278843679443 7.9056894395656636 0 9.2947984185713146 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00064443615842634373 0.00064443615842634373 0.68700229126814882 0.026698735806050637 0.99596055857258214 0.071140039973152644 0 running
40 0.02580367094751141 0.0006494616255530867 0.02 0.40747899999999998 0.21454816745304942 0.3359741803933573 0.251228751572042 0.11106496838923856 0 0.20451067961495589 nan nan nan nan nan nan nan nan nan nan 14.917543284588175 14.513140120278848 7.158751610713181 0 9.0200302176101506 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.0006494616255530867 0.0006494616255530867 0.5930461012152759 0.025971829913316164 0.99531535987322051 0.071093954351721014 0 running
50 0.032326505131404407 0.00065458301814576064 0.02 0.50355099999999997 0.20333126198680437 0.32365319668400677 0.22854899526260156 0.10426279909488902 0 0.19713255507731389 nan nan nan nan nan nan nan nan nan nan 14.470353061567732 12.491895923475585 6.7115317053973857 0 8.7510656832423397 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00065458301814576064 0.00065458301814576064 0.50414122632206959 0.025130128065131103 0.9952252902153611 0.071087520804724261 0 running
60 0.038900001679015375 0.00065960221637691629 0.02 0.59992800000000002 0.19294699917397959 0.31004069249317134 0.21054351750345951 0.10034083358608445 0 0.18873429948499906 nan nan nan nan nan nan nan nan nan nan 13.936875973886513 11.092819354680957 6.4470070042318159 0 8.4289865844631677 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00065960221637691629 0.00065960221637691629 0.42114706982366634 0.02287511811550616 0.99579009931826701 0.071127864312117289 0 running
70 0.045523382224509357 0.00066456356511839746 0.02 0.69725800000000004 0.1856121702397607 0.29871258837287779 0.20083775754559732 0.097887093604519387 0 0.18196837720565945 nan nan nan nan nan nan nan nan nan nan 13.379496766173558 10.37316931578477 6.2695893269518557 0 8.0920405639333648 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00066456356511839746 0.00066456356511839746 0.34383542737288048 0.017509742299197315 0.99463741695673236 0.071045529857635015 0 running
80 0.052195891601938063 0.00066943931208046984 0.02 0.79303999999999997 0.17964534021995543 0.28873910194366836 0.19403457752876976 0.09627249004301823 0 0.17627865073976015 nan nan nan nan nan nan nan nan nan nan 12.871781418787496 9.6744480177143455 6.1425721514502714 0 7.7935377203507414 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00066943931208046984 0.00066943931208046984 0.27141630973469394 0.012827932984188658 0.99159218545248606 0.070828013321387773 0 running
90 0.058910217645888399 0.0006726337431306002 0.02 0.89005699999999999 0.17363927520825395 0.27871079379890651 0.18697869508028223 0.095091236142087809 0 0.17049899498022489 nan nan nan nan nan nan nan nan nan nan 12.394366748698662 8.6148846075731171 6.0383828908881991 0 7.5020835208539385 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.0006726337431306002 0.0006726337431306002 0.2053752063487588 0.0088693758546291111 0.9885716604524335 0.070612261535441936 0 running
100 0.065651839042395063 0.00067548829343613219 0.02 0.98653100000000005 0.16785730935356122 0.26916211383109212 0.17987970980462681 0.094095677958578552 0 0.16498918566131143 nan nan nan nan nan nan nan nan nan nan 11.959936117193742 7.5541373604060649 5.9431404489246411 0 7.2275163782127301 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00067548829343613219 0.00067548829343613219 0.14747158883495243 0.0054503675830416057 0.98575661214466803 0.070411186656103533 0 running
110 0.072425188790827169 0.00067895677336232609 0.02 1.081529 0.16293961860175993 0.26084383148062262 0.17424163442744259 0.093168147468462179 0 0.16020811857796677 nan nan nan nan nan nan nan nan nan nan 11.568109676089522 8.2078154944824551 5.8498872033283567 0 6.9713261678478649 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00067895677336232609 0.00067895677336232609 0.098179416072176756 0.0026047545676992183 0.92856580734975191 0.06632612916643929 0 running
120 0.07923775697517868 0.00068328542282346445 0.02 1.179038 0.15887348788972647 0.25377413777117902 0.17003811271450395 0.092254631256384598 0 0.15613691429629362 nan nan nan nan nan nan nan nan nan nan 11.214911318336823 8.6810759544641112 5.7559833741364894 0 6.7332239318712359 nan nan nan nan nan nan nan nan nan nan 0 0 0 9360 0 0 0 0 0 0 0.00068328542282346445 0.00068328542282346445 0.057260551891690298 0.00027294032353298296 0.16683054670332317 0.011916467634247585 0 running
130 0.086099368707349022 0.00068868485679067883 0.02 1.414482 0.15513176071294144 0.24748043259544752 0.16590105096839547 0.091347870991816807 0 0.15236521632151145 nan nan nan nan nan nan nan nan nan nan 10.895623105309337 8.2348269180887215 5.6616086393888772 0 6.5125476497971242 nan nan nan nan nan nan nan nan nan nan 0 3 0 9324 0 0 36 12 6 0 0.00068868485679067883 0.00068868485679067883 0.048255703818814097 -0.00015949011125579861 -0.11567737330311979 -0.0082626695303753047 0 running
140 0.093021376299979003 0.00069525980505855578 0.02 1.683227 0.1517582309462743 0.24193584967939713 0.16195015392876436 0.090518570974047918 0 0.14899122085172528 nan nan nan nan nan nan nan nan nan nan 10.606177896082617 7.6467018853285351 5.5691922376442298 0 6.3089943743570638 nan nan nan nan nan nan nan nan nan nan 0 3 0 9262 0 0 98 30 9 0 0.00069525980505855578 0.00069525980505855578 0.045964664067537783 -0.00017561018374426943 -0.13042266912374559 -0.009315904947246316 0 running
150 0.10000671211864166 0.00070052990855680539 0.02 1.94493 0.14894602904711818 0.23724454085393348 0.1587837544870502 0.089787818722443152 0 0.14616939693243927 nan nan nan nan nan nan nan nan nan nan 10.344232514104011 7.0860631086737422 5.4837749757876351 0 6.1233880522221931 nan nan nan nan nan nan nan nan nan nan 0 3 0 9270 18 0 72 26 7 0 0.00070052990855680539 0.00070052990855680539 0.043695950797030855 -0.0001368474776541537 -0.10961205069262275 -0.0078294322005966668 0 running
160 0.10703443606055794 0.00070460406048202071 0.02 2.2026059999999998 0.14664845387122791 0.23334650204976087 0.1563113677326278 0.089173953735348491 0 0.14385067739851071 nan nan nan nan nan nan nan nan nan nan 10.109815052472136 6.7521390812312152 5.4136732373184584 0 5.9583172479250814 nan nan nan nan nan nan nan nan nan nan 0 3 0 9288 0 0 72 24 6 0 0.00070460406048202071 0.00070460406048202071 0.041477458581110162 -0.00012091867762202519 -0.10203376210751726 -0.0072881258725176097 0 running
170 0.11410280857976049 0.0007086630311428627 0.02 2.4710920000000001 0.14480046246277634 0.23016316156003688 0.15441184284563342 0.088640365601468749 0 0.14198822867727873 nan nan nan nan nan nan nan nan nan nan 9.9030236816696799 6.2514339427989993 5.3671219457936505 0 5.8169593883369934 nan nan nan nan nan nan nan nan nan nan 0 3 0 9216 10 0 134 44 9 0 0.0007086630311428627 0.0007086630311428627 0.039284790063640884 -0.0001236584252654299 -0.10844079012502059 -0.007745770731393895 0 running
180 0.12121173738086048 0.00071271659275372041 0.02 2.7253539999999998 0.14306705559490468 0.22720844113045902 0.15268114772854582 0.087929028487054334 0 0.14026471166926216 nan nan nan nan nan nan nan nan nan nan 9.7199870218907201 6.6076338694851318 5.3318707278011033 0 5.7062731827620823 nan nan nan nan nan nan nan nan nan nan 0 3 0 9252 54 0 54 24 6 0 0.00071271659275372041 0.00071271659275372041 0.037213390671866922 -9.6619181474810024e-05 -0.090871569225023208 -0.0064908263800690872 0 running
190 0.12836111619829418 0.00071674799288574389 0.02 3.032308 0.14117012740255358 0.22395747852836342 0.1510400229405702 0.086751945894186194 0 0.13838021361151273 nan nan nan nan nan nan nan nan nan nan 9.5347351639501667 6.8845170196287988 5.2384225700127347 0 5.6188766196771436 nan nan nan nan nan nan nan nan nan nan 0 3 0 9252 0 0 108 36 6 0 0.00071674799288574389 0.00071674799288574389 0.035227230292535217 -8.3846542631746038e-05 -0.083305544010818466 -0.0059503960070552931 0 running
