# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.25 0 9.1414354380594549 0.32294700389946573 0.84090057520390116 0.20911582775684046 0 20.419942981480677 nan nan nan nan nan nan nan nan nan nan 10.937483433108353 35.998191873761414 6.5286793910252454 0 695.46619836811146 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
20 0.034612350279515466 0.0017544349642591339 0.25 1.990826 5.2388636836955857 0.18343128892149368 0.87216997301622079 0.56590890044003528 0 11.666785465522995 nan nan nan nan nan nan nan nan nan nan 5.9077746942363394 24.568514034084611 16.335994039527325 0 377.4798479325645 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
40 0.069643481840729743 0.0017496319241272033 0.25 5.0069590000000002 4.9951406328859695 0.17568425645233302 0.81757221664981272 0.58015992378952086 0 11.123006557894671 nan nan nan nan nan nan nan nan nan nan 3.3386025930134995 19.806038308696785 12.689213219163756 0 210.58647469020534 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
60 0.10464130046020809 0.0017509952640955267 0.25 9.4040680000000005 4.3099390073661628 0.15223515136326163 0.71904132152663724 0.47556580912086682 0 9.5974742736776317 nan nan nan nan nan nan nan nan nan nan 2.3554953758986206 11.287346785460242 8.0158620828748202 0 142.77422327420138 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
80 0.13962776771084942 0.0017480109698092795 0.25 13.63747 3.9135354714858743 0.13863341446092697 0.60218825833093448 0.41080043323736909 0 8.7194146887773414 nan nan nan nan nan nan nan nan nan nan 1.8690069980684538 8.5997953237778866 6.2212161511187531 0 112.83727833682866 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
100 0.17461508195491088 0.0017507175655748597 0.25 17.802979000000001 3.5360066085379063 0.12525969202564438 0.54484372414416993 0.35556976775033583 0 7.8789427681761373 nan nan nan nan nan nan nan nan nan nan 1.3863666151078027 6.9402115111035618 4.6810179836199337 0 91.093898293636116 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
120 0.20962033900853735 0.0017493208118671358 0.25 21.966569 3.2680610992647572 0.11597147065332108 0.50663367111417046 0.32085166783890967 0 7.2820356969168127 nan nan nan nan nan nan nan nan nan nan 1.1261551895643356 5.5199565948203393 3.3973548671195588 0 68.378942494602313 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
140 0.24461214846772475 0.0017507935764104205 0.25 26.043312 3.0815225994404458 0.10943074383678435 0.47414980795288625 0.29798921484778773 0 6.866827284420876 nan nan nan nan nan nan nan nan nan nan 1.0747848500202708 5.0183626416744112 3.264535201631225 0 64.822134383453104 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
160 0.2796599353786246 0.001752948650779884 0.25 30.335401000000001 2.9427236460547137 0.1044821287858118 0.44987972664311482 0.27635925083369911 0 6.5580812411898552 nan nan nan nan nan nan nan nan nan nan 0.88570667206761733 4.1682984480900824 2.8665966067811244 0 52.91511274613692 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
180 0.31471209768332076 0.0017525759404181105 0.25 34.384844999999999 2.8097720324559234 0.099734005641859011 0.43023925320047857 0.26153217964982245 0 6.2618401931053134 nan nan nan nan nan nan nan nan nan nan 0.68109668470223927 3.7004573368913452 2.1670678805062638 0 40.897175254556927 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
200 0.34978530184265738 0.0017549426129887533 0.25 38.484332999999999 2.6832460050755254 0.095227104885309166 0.41102235546931448 0.24876843831763551 0 5.9798956767376348 nan nan nan nan nan nan nan nan nan nan 0.69282861198348611 3.2662246760316385 2.0883660809782438 0 43.238535283226376 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
220 0.38491205877103662 0.0017575179277410898 0.25 41.813628000000001 2.568814846155083 0.091130523029181107 0.39308676539831783 0.23697071473235906 0 5.7249516567508376 nan nan nan nan nan nan nan nan nan nan 0.63019127483384785 3.1610011587357616 1.7415213033706136 0 41.127706918182909 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
240 0.4200917115193169 0.0017604741634468222 0.25 43.707267000000002 2.4558098896629383 0.087113298285391841 0.37704347530481386 0.22687788986625831 0 5.4730052973584087 nan nan nan nan nan nan nan nan nan nan 0.53647429000243074 2.4503365544671132 1.5512725071815439 0 31.908820090167179 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
260 0.45532642177184451 0.0017628028093339611 0.25 45.656421000000002 2.3568280860658937 0.083577735316791982 0.36196560787086202 0.21764212393647442 0 5.2524109419495666 nan nan nan nan nan nan nan nan nan nan 0.53550591840608508 2.7926163460632778 1.3564764836530858 0 35.239988470767535 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
280 0.49060462229534785 0.0017649184437041642 0.25 47.613745000000002 2.2624013084101016 0.080236060724332967 0.3479949844512672 0.2093409895426345 0 5.0419179304042832 nan nan nan nan nan nan nan nan nan nan 0.43231443778953726 2.1559165789317083 1.2412739616012738 0 27.646552615213654 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
300 0.52592761664810861 0.0017673153999538281 0.25 49.462643 2.1778479359459761 0.077228231269115863 0.33483059447742064 0.20183534228992278 0 4.8534827627612316 nan nan nan nan nan nan nan nan nan nan 0.44967011867097684 2.4049546288978356 1.0538876303434332 0 29.775142519163886 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
320 0.56129993886664831 0.0017697628541983753 0.25 52.902436000000002 2.0953824158154766 0.074319255538543932 0.32258159728571389 0.19488925815222349 0 4.6696438066461967 nan nan nan nan nan nan nan nan nan nan 0.34700913095702712 1.8132743210921234 1.0293787518206683 0 22.968172581318932 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
340 0.59671907218077491 0.0017720104294382379 0.25 55.059896000000002 2.019747677476837 0.071642404802382376 0.31107815213502105 0.18828881789048735 0 4.5010608164655119 nan nan nan nan nan nan nan nan nan nan 0.3828327354116367 2.0796255424520402 0.79350231743733324 0 25.457166844886508 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
360 0.63218131595576721 0.0017740706905860625 0.25 57.20852 1.9491432036124738 0.069150917433668788 0.29994622596401499 0.18202489999434165 0 4.343721156896879 nan nan nan nan nan nan nan nan nan nan 0.28758390347455892 1.588180769102385 0.82042298411902148 0 19.175007244997467 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
