dimension,profile,cells,interior_l1,interior_l2,interior_linf,boundary_l1,boundary_l2,boundary_linf,global_l1,global_l2,global_linf
2,phenglei_wcns,24,1.2407177687177727e-3,1.3585934383774959e-3,1.7856813704586472e-3,9.0057635711787865e-3,1.2398713018743023e-2,2.3794767181916310e-2,4.4761535197431973e-3,8.0703203959598940e-3,2.3794767181916310e-2
2,phenglei_wcns,48,8.1565247525251661e-5,8.7366255143068460e-5,1.1279518825624280e-4,5.6467058323150243e-3,8.1365800899769903e-3,1.4666569913617700e-2,1.2409695360231202e-3,3.7146371637038003e-3,1.4666569913617700e-2
2,phenglei_wcns,96,4.8932490837778993e-6,5.2643723993367772e-6,7.0682933426269301e-6,3.0028967726565248e-3,4.3474230737554987e-3,7.7429542198674817e-3,3.1718528278927268e-4,1.4031336105647405e-3,7.7429542198674817e-3
2,scmm6_wcns,24,1.3840289838652764e-5,1.5480697400004320e-5,2.2518283445016607e-5,4.5386068007324608e-4,7.6680447428732290e-4,1.7968014547196098e-3,2.7051885080883221e-4,5.8574183537270057e-4,1.7968014547196098e-3
2,scmm6_wcns,48,2.7767948838248332e-7,2.9948654511882306e-7,3.8362709720018984e-7,4.2876545092552747e-5,7.3767357666057226e-5,1.6976238257937482e-4,1.2702348622932144e-5,3.9839723772504030e-5,1.6976238257937482e-4
2,scmm6_wcns,96,4.2643388474173914e-9,4.5864315725921926e-9,1.4674429893446472e-8,5.2247791081466718e-6,8.5693733380771098e-6,1.9359672059238164e-5,7.6558940937022533e-7,3.2724862436079754e-6,1.9359672059238164e-5
3,phenglei_wcns,24,1.2407177687133195e-3,1.3585934383789212e-3,1.7856813702090690e-3,9.0057635710454869e-3,1.2398713018605048e-2,2.3794767181132492e-2,4.4761535196850607e-3,8.0703203958717162e-3,2.3794767181132492e-2
3,phenglei_wcns,48,8.1565247535279122e-5,8.7366255126791604e-5,1.1279518588835913e-4,5.6467058325091390e-3,8.1365800899645940e-3,1.4666569912973770e-2,1.2409695360714999e-3,3.7146371636978433e-3,1.4666569912973770e-2
3,phenglei_wcns,96,4.8932490349077379e-6,5.2643723926238065e-6,7.0682918114073345e-6,3.0028967739824919e-3,4.3474230757664855e-3,7.7429542144568098e-3,3.1718528288361437e-4,1.4031336112137552e-3,7.7429542144568098e-3
3,scmm6_wcns,24,1.3840288739752800e-5,1.5480696820723374e-5,2.2518220760048280e-5,4.5386068074869054e-4,7.6680447482993226e-4,1.7968014056792825e-3,2.7051885074496647e-4,5.8574183578068541e-4,1.7968014056792825e-3
3,scmm6_wcns,48,2.7767987881786104e-7,2.9948656072104654e-7,3.8302392546540887e-7,4.2876543272438857e-5,7.3767356252965483e-5,1.6976214667607792e-4,1.2702348368623983e-5,3.9839723009445563e-5,1.6976214667607792e-4
3,scmm6_wcns,96,4.2486475118043941e-9,4.5524984320616637e-9,6.0310378913186469e-9,5.2247628399005696e-6,8.5693812662922773e-6,1.9355351846384039e-5,7.6557363390183258e-7,3.2724892307706955e-6,1.9355351846384039e-5
